gene_id	length	counts	TPM
ERR1913059_00001	351	12	5.734593
ERR1913059_00002	132	15	19.061005
ERR1913059_00003	918	151	27.590701
ERR1913059_00004	1683	171	17.042781
ERR1913059_00005	897	107	20.008743
ERR1913059_00006	186	16	14.428976
ERR1913059_00007	3690	580	26.365140
ERR1913059_00008	1422	208	24.535347
ERR1913059_00009	1083	176	27.259173
ERR1913059_00010	393	28	11.950716
ERR1913059_00011	1509	213	23.676572
ERR1913059_00012	315	24	12.779950
ERR1913059_00013	285	15	8.828255
ERR1913059_00014	183	9	8.249353
ERR1913059_00015	645	88	22.885027
ERR1913059_00016	1104	148	22.486461
ERR1913059_00017	2463	380	25.879009
ERR1913059_00018	594	87	24.567517
ERR1913059_00019	1158	178	25.783383
ERR1913059_00020	315	33	17.572431
ERR1913059_00021	393	40	17.072452
ERR1913059_00022	807	113	23.487315
ERR1913059_00023	1359	226	27.894427
ERR1913059_00024	210	12	9.584962
ERR1913059_00025	3258	445	22.910649
ERR1913059_00026	642	124	32.397770
ERR1913059_00027	525	70	22.364912
ERR1913059_00028	1449	259	29.981948
ERR1913059_00029	333	35	17.629998
ERR1913059_00030	528	69	21.920155
ERR1913059_00031	696	77	18.557093
ERR1913059_00032	411	33	13.467922
ERR1913059_00033	1053	113	18.000250
ERR1913059_00034	357	28	13.155831
ERR1913059_00035	1095	114	17.463014
ERR1913059_00036	1587	234	24.732464
ERR1913059_00037	237	28	19.817011
ERR1913059_00038	1836	243	22.200464
ERR1913059_00039	162	2	2.070825
ERR1913059_00040	498	49	16.504227
ERR1913059_00041	231	19	13.796537
ERR1913059_00042	762	98	21.572455
ERR1913059_00043	1098	121	18.484661
ERR1913059_00044	255	14	9.209082
ERR1913059_00045	138	19	23.094203
ERR1913059_00046	414	77	31.197432
ERR1913059_00047	918	100	18.271987
ERR1913059_00048	468	43	15.411718
ERR1913059_00049	366	30	13.748921
ERR1913059_00050	444	74	27.956140
ERR1913059_00051	966	138	23.962406
ERR1913059_00052	318	49	25.846243
ERR1913059_00053	276	46	27.956140
ERR1913059_00054	270	36	22.364912
ERR1913059_00055	216	19	14.754630
ERR1913059_00056	483	69	23.962406
ERR1913059_00057	633	82	21.728943
ERR1913059_00058	330	31	15.757097
ERR1913059_00059	525	39	12.460451
ERR1913059_00060	534	69	21.673862
ERR1913059_00061	855	124	24.326747
ERR1913059_00062	777	87	18.781345
ERR1913059_00063	177	11	10.424324
ERR1913059_00064	225	16	11.927953
ERR1913059_00065	333	24	12.089142
ERR1913059_00066	294	24	13.692803
ERR1913059_00067	375	45	20.128421
ERR1913059_00068	204	13	10.689112
ERR1913059_00069	228	25	18.392198
ERR1913059_00070	912	105	19.311807
ERR1913059_00071	285	19	11.182456
ERR1913059_00072	825	73	14.842169
ERR1913059_00073	279	21	12.625354
ERR1913059_00074	666	73	18.385570
ERR1913059_00075	126	1	1.331245
ERR1913059_00076	831	112	22.607132
ERR1913059_00077	258	21	13.652999
ERR1913059_00078	309	34	18.456481
ERR1913059_00079	273	18	11.059572
ERR1913059_00080	720	74	17.239620
ERR1913059_00081	1371	188	23.001113
ERR1913059_00082	1149	167	24.379506
ERR1913059_00083	1779	232	21.874619
ERR1913059_00084	1359	213	26.289880
ERR1913059_00085	471	58	20.655492
ERR1913059_00086	417	46	18.503345
ERR1913059_00087	738	108	24.546855
ERR1913059_00088	699	92	22.076952
ERR1913059_00089	438	31	11.871786
ERR1913059_00090	1323	185	23.455265
ERR1913059_00091	867	107	20.701087
ERR1913059_00092	759	121	26.740656
ERR1913059_00093	1842	259	23.585148
ERR1913059_00094	2034	264	21.771154
ERR1913059_00095	510	52	17.102580
ERR1913059_00096	840	81	16.174624
ERR1913059_00097	573	79	23.126022
ERR1913059_00098	450	54	20.128421
ERR1913059_00099	2082	272	21.913747
ERR1913059_00100	324	37	19.155133
ERR1913059_00101	945	112	19.879922
ERR1913059_00102	978	133	22.810838
ERR1913059_00103	825	126	25.617990
ERR1913059_00104	1689	226	22.444361
ERR1913059_00105	1254	139	18.592840
ERR1913059_00106	1803	227	21.118282
ERR1913059_00107	681	72	17.734292
ERR1913059_00108	1341	137	17.136426
ERR1913059_00109	4746	678	23.962406
ERR1913059_00110	918	127	23.205424
ERR1913059_00111	1032	140	22.754998
ERR1913059_00112	192	32	27.956140
ERR1913059_00113	267	38	23.872659
ERR1913059_00114	2151	384	29.944652
ERR1913059_00115	1368	186	22.806325
ERR1913059_00116	873	176	33.816362
ERR1913059_00117	954	144	25.318769
ERR1913059_00118	921	157	28.593577
ERR1913059_00119	684	91	22.315866
ERR1913059_00120	1224	147	20.144866
ERR1913059_00121	1584	197	20.861211
ERR1913059_00122	933	108	19.416483
ERR1913059_00123	921	107	19.487342
ERR1913059_00124	525	78	24.920902
ERR1913059_00125	1527	190	20.870989
ERR1913059_00126	195	8	6.881511
ERR1913059_00127	915	112	20.531723
ERR1913059_00128	108	0	0.000000
ERR1913059_00129	831	87	17.560897
ERR1913059_00130	1116	79	11.873845
ERR1913059_00131	930	138	24.889983
ERR1913059_00132	285	30	17.656510
ERR1913059_00133	1632	188	19.322626
ERR1913059_00134	1050	149	23.802657
ERR1913059_00135	264	41	26.050040
ERR1913059_00136	504	61	20.301483
ERR1913059_00137	1005	178	29.708615
ERR1913059_00138	105	6	9.584962
ERR1913059_00139	315	48	25.559900
ERR1913059_00141	1248	316	42.471829
