gene_id	length	counts	TPM
ERR1913060_00001	183	113	96.183440
ERR1913060_00002	315	144	71.207361
ERR1913060_00003	3714	1797	75.366636
ERR1913060_00004	693	339	76.197271
ERR1913060_00005	729	330	70.511405
ERR1913060_00006	711	325	71.201102
ERR1913060_00007	735	418	88.585348
ERR1913060_00008	375	228	94.705790
ERR1913060_00009	447	285	99.313958
ERR1913060_00010	852	439	80.259764
ERR1913060_00011	741	248	52.132245
ERR1913060_00012	582	231	61.824690
ERR1913060_00013	1143	546	74.407955
ERR1913060_00015	921	560	94.711203
ERR1913060_00016	549	306	86.820451
ERR1913060_00017	651	381	91.162650
ERR1913060_00018	1461	903	96.274326
ERR1913060_00019	957	592	96.356879
ERR1913060_00020	1158	670	90.123738
ERR1913060_00021	1470	687	72.796811
ERR1913060_00022	492	236	74.717074
ERR1913060_00023	1473	813	85.972737
ERR1913060_00024	1851	814	68.500058
ERR1913060_00025	498	224	70.063468
ERR1913060_00026	858	423	76.793778
ERR1913060_00027	1023	522	79.481824
ERR1913060_00028	594	346	90.732444
ERR1913060_00029	2517	1262	78.099651
ERR1913060_00030	1995	822	64.180319
ERR1913060_00031	1248	585	73.015361
ERR1913060_00032	1857	833	69.872463
ERR1913060_00033	1659	852	79.995612
ERR1913060_00034	615	306	77.503134
ERR1913060_00035	1500	754	78.298428
ERR1913060_00036	891	430	75.173316
ERR1913060_00037	1155	596	80.378006
ERR1913060_00038	1899	1036	84.978242
ERR1913060_00039	2298	1262	85.542568
ERR1913060_00040	1119	525	73.080611
ERR1913060_00041	2889	1654	89.178655
ERR1913060_00043	1929	845	68.233466
ERR1913060_00044	1209	592	76.272566
ERR1913060_00045	1194	626	81.666315
ERR1913060_00046	837	407	75.742896
ERR1913060_00047	645	338	81.626268
ERR1913060_00048	645	287	69.309878
ERR1913060_00049	849	398	73.021094
ERR1913060_00050	963	495	80.066688
ERR1913060_00051	1434	788	85.595320
ERR1913060_00052	90	39	67.498645
ERR1913060_00053	168	175	162.256357
ERR1913060_00054	729	364	77.776216
ERR1913060_00055	2145	937	68.043281
ERR1913060_00056	2463	1243	78.610339
ERR1913060_00057	2961	1506	79.224502
ERR1913060_00058	2385	1266	82.683390
ERR1913060_00059	1332	699	81.742121
ERR1913060_00060	1170	681	90.663860
ERR1913060_00061	663	309	72.596871
ERR1913060_00062	360	221	95.623080
ERR1913060_00063	2397	1283	83.374180
ERR1913060_00064	2607	1298	77.554431
ERR1913060_00065	2280	1207	82.460389
ERR1913060_00066	141	148	163.499172
ERR1913060_00067	612	378	96.208475
ERR1913060_00068	1491	617	64.458541
ERR1913060_00069	705	336	74.237462
ERR1913060_00070	444	237	83.145420
ERR1913060_00071	1911	905	73.766783
