gene_id	length	counts	TPM
ERR1912976_00001	666	108	30.180222
ERR1912976_00002	294	31	19.623988
ERR1912976_00003	402	49	22.685216
ERR1912976_00004	516	39	14.066557
ERR1912976_00005	408	49	22.351610
ERR1912976_00006	1266	163	23.962206
ERR1912976_00007	210	9	7.976201
ERR1912976_00008	276	17	11.463381
ERR1912976_00009	492	31	11.726529
ERR1912976_00010	237	11	8.638080
ERR1912976_00011	543	51	17.480073
ERR1912976_00012	165	18	20.303058
ERR1912976_00013	348	35	18.718097
ERR1912976_00014	120	11	17.060209
ERR1912976_00016	342	19	10.339520
ERR1912976_00017	144	1	1.292440
ERR1912976_00018	573	81	26.308937
ERR1912976_00019	384	46	22.294591
ERR1912976_00020	210	30	26.587338
ERR1912976_00021	186	9	9.005389
ERR1912976_00022	225	12	9.925940
ERR1912976_00023	2079	221	19.783844
ERR1912976_00024	870	105	22.461717
ERR1912976_00025	204	11	10.035417
ERR1912976_00026	456	41	16.733697
ERR1912976_00027	585	56	17.815789
ERR1912976_00028	228	6	4.897668
ERR1912976_00029	711	63	16.490881
ERR1912976_00030	231	17	13.696507
ERR1912976_00031	330	38	21.431006
ERR1912976_00032	270	27	18.611137
ERR1912976_00033	669	64	17.804376
ERR1912976_00034	285	22	14.366491
ERR1912976_00035	243	17	13.020137
ERR1912976_00036	348	32	17.113689
ERR1912976_00037	432	28	12.062774
ERR1912976_00038	477	35	13.655970
ERR1912976_00039	2526	265	19.524747
ERR1912976_00040	426	30	13.106434
ERR1912976_00041	1521	145	17.742372
ERR1912976_00042	453	60	24.650512
ERR1912976_00043	987	120	22.627522
ERR1912976_00044	912	104	21.223226
ERR1912976_00045	465	47	18.811256
ERR1912976_00046	648	93	26.710428
ERR1912976_00047	738	74	18.661573
ERR1912976_00048	480	37	14.346084
ERR1912976_00049	3726	454	22.677016
ERR1912976_00050	456	40	16.325558
ERR1912976_00051	4233	397	17.454810
ERR1912976_00052	321	26	15.074441
ERR1912976_00053	900	85	17.577185
ERR1912976_00054	1437	128	16.577770
ERR1912976_00055	1344	145	20.078979
ERR1912976_00056	411	38	17.207377
ERR1912976_00057	843	112	24.726540
ERR1912976_00058	255	9	6.568636
ERR1912976_00059	366	24	12.204024
ERR1912976_00060	180	12	12.407424
ERR1912976_00061	585	52	16.543233
ERR1912976_00062	711	61	15.967361
ERR1912976_00063	669	87	24.202823
ERR1912976_00064	963	172	33.241075
ERR1912976_00065	537	72	24.953479
ERR1912976_00066	183	11	11.187022
ERR1912976_00067	456	36	14.693003
ERR1912976_00068	210	29	25.701093
ERR1912976_00069	810	80	18.381370
ERR1912976_00070	174	1	1.069606
ERR1912976_00071	744	106	26.515867
ERR1912976_00072	279	22	14.675448
ERR1912976_00073	429	50	21.691301
ERR1912976_00074	300	27	16.750023
ERR1912976_00075	615	54	16.341486
ERR1912976_00076	225	12	9.925940
ERR1912976_00077	909	134	27.435559
ERR1912976_00078	969	117	22.471651
ERR1912976_00079	702	120	31.813909
ERR1912976_00080	252	37	27.325875
ERR1912976_00081	204	13	11.860038
ERR1912976_00082	771	114	27.518412
ERR1912976_00083	339	12	6.588013
ERR1912976_00084	165	5	5.639738
ERR1912976_00085	1044	119	21.213843
ERR1912976_00086	1230	138	20.880787
ERR1912976_00087	216	19	16.370907
ERR1912976_00088	222	30	25.150185
ERR1912976_00089	213	7	6.116336
ERR1912976_00090	408	14	6.386174
ERR1912976_00091	1089	91	15.552006
ERR1912976_00092	459	33	13.380556
ERR1912976_00093	2460	348	26.327949
ERR1912976_00094	732	82	20.848541
ERR1912976_00095	1659	218	24.455864
ERR1912976_00096	591	61	19.209464
ERR1912976_00097	1527	205	24.985481
ERR1912976_00098	738	65	16.391923
ERR1912976_00099	678	63	17.293534
ERR1912976_00100	1287	126	18.220693
ERR1912976_00101	438	71	30.168737
ERR1912976_00102	804	109	25.231516
ERR1912976_00103	1128	121	19.964074
ERR1912976_00104	2067	223	20.078778
ERR1912976_00105	915	90	18.306036
ERR1912976_00106	1551	176	21.119020
ERR1912976_00107	1536	190	23.021588
ERR1912976_00108	255	14	10.217879
ERR1912976_00109	414	27	12.137698
ERR1912976_00110	1092	89	15.168417
ERR1912976_00111	255	19	13.867121
ERR1912976_00112	501	57	21.174347
ERR1912976_00113	558	44	14.675448
ERR1912976_00114	1593	185	21.613687
ERR1912976_00115	870	80	17.113689
ERR1912976_00116	735	83	21.016658
ERR1912976_00117	1623	192	22.016871
ERR1912976_00118	1314	141	19.970854
ERR1912976_00119	1152	141	22.779256
ERR1912976_00120	1089	146	24.951570
ERR1912976_00121	789	73	17.219429
ERR1912976_00122	1359	142	19.446515
ERR1912976_00123	879	119	25.195964
ERR1912976_00124	138	20	26.972662
ERR1912976_00125	2058	230	20.799618
ERR1912976_00126	3654	395	20.118771
ERR1912976_00127	582	45	14.390054
ERR1912976_00128	1155	139	22.397818
ERR1912976_00129	1176	109	17.250118
ERR1912976_00130	1668	162	18.075564
ERR1912976_00131	228	17	13.876725
ERR1912976_00132	237	23	18.061441
ERR1912976_00133	459	71	28.788468
ERR1912976_00134	2154	228	19.699810
ERR1912976_00135	2850	343	22.398666
ERR1912976_00136	639	49	14.271451
ERR1912976_00137	630	70	20.679041
ERR1912976_00138	849	72	15.783296
ERR1912976_00139	2220	252	21.126155
ERR1912976_00140	549	48	16.272032
ERR1912976_00141	702	65	17.232534
ERR1912976_00142	1089	168	28.711395
ERR1912976_00143	1665	193	21.573270
ERR1912976_00144	483	46	17.724892
ERR1912976_00145	315	30	17.724892
ERR1912976_00146	210	28	24.814849
ERR1912976_00148	1176	138	21.839599
ERR1912976_00149	213	11	9.611385
ERR1912976_00150	291	30	19.186739
ERR1912976_00151	126	10	14.770743
ERR1912976_00152	429	36	15.617737
ERR1912976_00153	690	36	9.710158
ERR1912976_00154	825	48	10.828298
ERR1912976_00155	306	15	9.123106
ERR1912976_00156	2532	245	18.008406
ERR1912976_00157	534	57	19.865820
ERR1912976_00158	399	32	14.926225
ERR1912976_00159	387	31	14.908146
ERR1912976_00160	1383	163	21.935035
ERR1912976_00161	204	25	22.807765
ERR1912976_00162	315	34	20.088211
ERR1912976_00163	1350	150	20.679041
ERR1912976_00164	1656	201	22.589604
ERR1912976_00165	576	71	22.940811
ERR1912976_00166	603	102	31.481525
ERR1912976_00167	1329	168	23.526493
ERR1912976_00168	288	29	18.740381
ERR1912976_00169	972	97	18.572842
ERR1912976_00170	2010	211	19.537064
ERR1912976_00171	1743	225	24.024703
ERR1912976_00172	141	26	34.318408
ERR1912976_00173	2334	308	24.559683
ERR1912976_00174	2112	271	23.880767
ERR1912976_00175	3312	427	23.994430
ERR1912976_00176	2757	276	18.631388
ERR1912976_00177	1341	173	24.009893
ERR1912976_00178	1341	170	23.593536
ERR1912976_00179	3138	375	22.240842
ERR1912976_00180	837	110	24.459080
ERR1912976_00181	588	65	20.573535
ERR1912976_00182	1524	222	27.110711
ERR1912976_00183	861	123	26.587338
ERR1912976_00184	396	42	19.739084
ERR1912976_00185	1221	131	19.967722
ERR1912976_00186	399	41	19.124226
ERR1912976_00187	1254	135	20.035913
ERR1912976_00188	120	0	0.000000
ERR1912976_00189	1449	195	25.046043
ERR1912976_00190	1353	121	16.644106
ERR1912976_00191	651	61	17.439007
ERR1912976_00192	822	87	19.697918
ERR1912976_00193	1167	129	20.572722
ERR1912976_00194	1689	198	21.817674
ERR1912976_00195	3342	421	23.444909
ERR1912976_00196	2748	354	23.975045
ERR1912976_00197	1308	156	22.196768
ERR1912976_00198	1353	176	24.209609
ERR1912976_00199	858	97	21.040562
ERR1912976_00200	552	62	20.903813
ERR1912976_00201	120	4	6.203712
ERR1912976_00202	483	59	22.734101
ERR1912976_00203	846	90	19.799082
ERR1912976_00204	1992	259	24.198215
ERR1912976_00205	762	94	22.958620
ERR1912976_00206	807	85	19.602808
ERR1912976_00207	414	42	18.880863
ERR1912976_00208	354	23	12.091981
ERR1912976_00209	2214	262	22.024019
ERR1912976_00210	1518	178	21.823335
ERR1912976_00211	1251	143	21.274121
ERR1912976_00212	717	75	19.467716
ERR1912976_00213	498	65	24.291644
